Dish,Indian,Mexican,Chinese,American,Mediterranean,Japanese,Thai,Italian
Seasons,1,0,0,0,0,0,0,0
Goat,1,1,0,1,1,0,0,0
Chriss,0,0,0,0,0,0,0,1
Sakura,0,0,0,0,0,1,0,0
Chilean,0,0,0,0,0,1,0,0
Kebabs,1,0,0,0,1,0,0,0
Bharta,1,0,0,0,0,0,0,0
Bubbas,0,0,0,1,0,0,0,0
Tinga,0,2,0,0,0,0,0,0
Baba,0,0,0,0,1,0,0,0
Simplified,0,0,0,0,0,2,0,0
Gujarati,2,0,0,0,0,0,0,0
Adzuki,0,0,1,0,0,0,0,0
Chicago,0,0,0,1,0,0,0,0
Sundried,0,0,0,0,0,0,0,3
Anchovy,0,0,0,0,2,0,0,0
Mapo,0,0,4,0,0,1,0,0
Rock,0,0,0,1,0,0,0,0
Spinach,11,5,0,0,4,3,0,19
Big,0,0,0,2,0,1,0,0
Mediterranean,1,0,0,0,46,0,0,4
Baigan,1,0,0,0,0,0,0,0
